Time,Acel X,Acel Y,Acel z,Gyro X,Gyro Y,Gyro Z
1661111727.426547,-9400,2868,-11792,-126,-1643,-777
1661111727.541235,-10308,2032,-10944,385,-3035,-1385
1661111727.65178,-10436,2024,-10712,1917,-2455,-976
1661111727.762307,-10348,1436,-10848,-128,-1022,-238
1661111727.872821,-9752,3568,-10840,-13813,7644,3596
1661111727.987612,-11704,5284,-9292,-7423,1362,3859
1661111728.098328,-11388,6520,-8544,5004,-7044,-2247
1661111728.204809,-13132,9220,-10684,396,-1043,-322
1661111728.319325,-12092,4272,-9516,-11026,2817,3028
1661111728.433899,-11476,6796,-4828,-3315,-585,1938
1661111728.548582,-13368,5848,-6352,1242,-2060,2718
1661111728.659095,-12576,6840,-6760,1085,-662,644
1661111728.76995,-12756,6556,-6476,1226,-2442,-568
1661111728.880612,-9696,11276,-6640,-3755,-3006,6083
1661111728.986999,-12656,8000,-4428,-2,-4403,2743
1661111729.097517,-13108,9584,-2676,670,-5994,-680
1661111729.208033,-11960,8920,-2712,995,-4209,-919
1661111729.32263,-13704,8804,-2400,720,-2842,-812
1661111729.437389,-12864,9592,-2060,-3032,-2832,143
1661111729.548033,-12396,10264,-1948,494,1998,915
1661111729.662685,-13024,14040,7652,7614,-20419,-9373
1661111729.773499,-14044,9488,892,-1842,-1879,1692
1661111729.887981,-12456,10812,2668,1883,-6628,-5170
1661111729.994786,-14432,8548,3944,-1963,-7071,-1345
1661111730.109114,-12048,8592,4916,-4222,-9630,-3638
1661111730.220017,-13128,7580,7308,-3556,-5071,-965
1661111730.334713,-12644,8056,9044,-1546,-7151,-5857
1661111730.445033,-13420,6608,6788,-622,-8663,-11836
1661111730.555676,-12884,4756,10328,251,276,-3262
1661111730.66639,-13004,3924,10728,363,-1563,-477
1661111730.780916,-11296,4344,11548,-329,-4544,-2552
1661111730.895634,-11924,2928,11760,-520,-1489,-1160
1661111731.006025,-13016,4900,14020,3995,-3769,-4827
1661111731.113292,-12352,3060,12952,426,-5441,-5954
1661111731.22351,-10324,2996,13520,1829,-3880,-1897
1661111731.333889,-9864,2684,13560,1077,-3288,-570
1661111731.440547,-10248,2648,14316,748,-736,129
1661111731.550948,-8940,1960,14828,1358,-2213,-309
1661111731.661798,-9524,2872,14820,821,-2078,-633
1661111731.772214,-8956,3440,15628,971,-2581,-421
1661111731.882753,-8664,3092,15348,772,-1052,-482
1661111731.993346,-8548,3172,15192,-6,1975,44
1661111732.107762,-9424,3272,14988,-39,3434,-1554
1661111732.218835,-9708,2524,14300,95,427,-2617
1661111732.329216,-9892,2240,14472,129,620,-2597
1661111732.443813,-11368,-268,12164,-5787,3403,-9571
1661111732.550776,-10464,1020,14248,-923,951,-1449
1661111732.66498,-9260,1036,13196,-1630,1876,-2033
1661111732.775824,-10296,780,14572,-127,1250,-616
1661111732.882495,-10552,612,14288,-500,172,-995
1661111732.992686,-10972,-684,15172,-59,1115,-2602
1661111733.107436,-11276,-636,13860,-421,749,363
1661111733.218085,-11420,-1224,11336,2266,-1472,338
1661111733.328431,-10192,452,14804,1585,-2042,2142
1661111733.438963,-9704,800,14396,2002,-2448,1758
1661111733.550009,-8992,1768,14812,857,-776,655
1661111733.660113,-9136,1552,15264,352,904,-554
1661111733.770865,-9800,1316,14732,-412,2446,-843
1661111733.881407,-10408,1036,14192,-188,2988,-534
1661111733.99231,-10356,976,14428,-1664,3754,-450
1661111734.102667,-11264,588,13524,-1174,1578,-946
1661111734.21319,-10744,664,13060,-1057,2422,-87
1661111734.32382,-11604,292,13404,343,236,-617
1661111734.434439,-11100,-716,12512,1913,-29,-2235
1661111734.54906,-10716,1388,13444,201,-54,-2229
1661111734.663902,-10804,1204,13528,-1441,3387,2573
1661111734.770223,-13560,2576,12756,233,9125,6763
1661111734.884815,-14976,1364,11596,-3538,11825,841
1661111734.999784,-15104,1828,6688,-3395,7586,3217
1661111735.110374,-14464,2160,5872,-904,3301,2007
1661111735.222236,-15492,2544,5636,483,338,525
1661111735.331692,-15684,2484,4484,-430,4302,1893
1661111735.441966,-15472,4320,4244,-2466,9829,12024
1661111735.552437,-15504,4828,2304,48,3938,167
1661111735.667405,-15600,4912,1760,173,2878,1829
1661111735.777724,-15312,4852,412,293,2685,-245
1661111735.88853,-15192,4980,336,233,813,-386
1661111735.99902,-15236,4868,220,77,1384,-458
1661111736.109592,-15140,4896,96,48,1294,-515
1661111736.2203,-15052,4760,-220,114,643,-83
1661111736.334919,-15148,4688,-452,-11,858,-166
